title;slug;topCategoryName;origin;price_unit;price
Beurre d’Isigny de baratte doux AOP REFLETS DE FRANCE;beurre-d-isigny-de-baratte-doux-aop-reflets-de-france;Crèmerie et Produits laitiers;;12.36;3.09
Crème Fraîche D’Isigny Aop REFLETS DE FRANCE;lait;Crèmerie et Produits laitiers;;7.48;2.99
Beurre gastronomique demi-sel CARREFOUR CLASSIC';beurre-gastronomique-demi-sel-carrefour-classic;Crèmerie et Produits laitiers;;9.98;4.99
Crème Semi-Épaisse Légère 18% Mat.Gr. CARREFOUR;lait;Crèmerie et Produits laitiers;;4.98;2.49
Crème Fluide Légère 12% Mat.Gr. CARREFOUR;lait;Crèmerie et Produits laitiers;;4.72;1.89
Crème Anglaise CARREFOUR;lait;Crèmerie et Produits laitiers;;2.90;1.45
Crème Fraîche Entière Epaisse 30% Mat.Gr. CARREFOUR;lait;Crèmerie et Produits laitiers;;4.75;0.95
Crème Fraîche Légère 15% Mat.Gr. CARREFOUR;lait;Crèmerie et Produits laitiers;;2.58;1.29
Crème Fraîche Epaisse 30% Mat.Gr. CARREFOUR;lait;Crèmerie et Produits laitiers;;3.78;1.89
Matière grasse laitière à tartiner doux CARREFOUR;matiere-grasse-laitiere-a-tartiner-doux-carrefour;Crèmerie et Produits laitiers;;7.00;1.75
Beurre de montagne doux CARREFOUR EXTRA;beurre-de-montagne-doux-carrefour-extra;Crèmerie et Produits laitiers;;11.16;2.79
Beurre de montagne demi-sel CARREFOUR EXTRA;beurre-de-montagne-demi-sel-carrefour-extra;Crèmerie et Produits laitiers;;11.16;2.79
Crème légère fluide CARREFOUR EXTRA;lait;Crèmerie et Produits laitiers;;3.98;2.39
Crème entière fluide 30% MG CARREFOUR EXTRA;lait;Crèmerie et Produits laitiers;;5.25;3.15
Crème Fraîche Entière 30% Mg CARREFOUR EXTRA;lait;Crèmerie et Produits laitiers;;5.30;2.65
Beurre Demi-sel de Bretagne AGRILAIT;beurre-demi-sel-de-bretagne-agrilait;Crèmerie et Produits laitiers;;11.70;5.85
Beurre Demi-sel Moulé  AGRILAIT;beurre-demi-sel-moule-agrilait;Crèmerie et Produits laitiers;;11.98;5.99
Beurre de Baratte Au Sel de Guérande AGRILAIT;beurre-de-baratte-au-sel-de-guerande-agrilait;Crèmerie et Produits laitiers;;9.60;2.4
Beurre Demi-sel ALAIN LEDANEC;beurre-demi-sel-alain-ledanec;Crèmerie et Produits laitiers;;10.20;2.55
Beurre Doux ALAIN LEDANEC;beurre-doux-alain-ledanec;Crèmerie et Produits laitiers;;10.36;2.59
Margarine Doux Anti-Eclaboussure Maître en Cuisson   ASTRA;margarine-doux-anti-eclaboussure-maitre-en-cuisson-astra;Crèmerie et Produits laitiers;;4.76;2.65
Margarine tartine ASTRA;margarine-tartine-astra;Crèmerie et Produits laitiers;;4.07;2.29
Beurre Doux 60% Mat. Gr. BOCAGE;beurre-doux-60-mat-gr-bocage;Crèmerie et Produits laitiers;;8.76;2.19
Margarine  Doux Blocage  BOCAGE;margarine-doux-blocage-bocage;Crèmerie et Produits laitiers;;5.87;1.35
Beurre Doux BONS MAYENNAIS;beurre-doux-bons-mayennais;Crèmerie et Produits laitiers;;8.80;2.2
Beurre Demi-sel BONS MAYENNAIS;beurre-demi-sel-bons-mayennais;Crèmerie et Produits laitiers;;8.84;2.21
Beurre Demi-sel BONS MAYENNAIS;beurre-demi-sel-bons-mayennais;Crèmerie et Produits laitiers;;11.10;5.55
Beurre Doux 60% Mat. Gr. BRIDEL;beurre-doux-60-mat-gr-bridel;Crèmerie et Produits laitiers;;9.40;2.35
Beurre Demi-sel 60% Mat. Gr. BRIDEL;beurre-demi-sel-60-mat-gr-bridel;Crèmerie et Produits laitiers;;9.56;2.39
Crème Fouettée Légère BRIDELICE;lait;Crèmerie et Produits laitiers;;11.56;2.89
Crème Epaisse Légère 15% Mat.Gr. BRIDELICE;lait;Crèmerie et Produits laitiers;;4.30;0.86
Crème Epaisse 15% Mat.Gr. BRIDELICE;lait;Crèmerie et Produits laitiers;;6.60;0.66
Crème Fouettée Légère BRIDELICE;lait;Crèmerie et Produits laitiers;;10.98;5.49
Crème Entière Fluide 30% Mat.Gr. BRIDELICE;lait;Crèmerie et Produits laitiers;;7.58;3.79
Crème Fluide Légère 12% Mat.Gr. BRIDELICE;lait;Crèmerie et Produits laitiers;;5.90;2.95
Crème Semi-Épaisse Légère 18% Mat.Gr. BRIDELICE;lait;Crèmerie et Produits laitiers;;4.75;2.85
Crème Fluide Légère 12% Mat.Gr. BRIDELICE;lait;Crèmerie et Produits laitiers;;4.65;2.79
Crème Epaisse 15% Mat.Gr. BRIDELICE;lait;Crèmerie et Produits laitiers;;3.90;1.95
Crème Semi-Épaisse Légère 18% Mat.Gr. BRIDELICE;lait;Crèmerie et Produits laitiers;;5.98;2.99
Crème Anglaise UHT BRIDELICE;lait;Crèmerie et Produits laitiers;;5.82;3.49
Crème Anglaise UHT BRIDELICE;lait;Crèmerie et Produits laitiers;;3.98;1.99
Crème Légère et Fluide à 12% MG Stérilisée UHT BRIDELICE;lait;Crèmerie et Produits laitiers;;3.98;1.99
Sauce Béchamel UHT BRIDELICE;sauce-bechamel-uht-bridelice;Crèmerie et Produits laitiers;;5.58;3.35
Beurre Doux 15% Mat. Gr. BRIDELIGHT;beurre-doux-15-mat-gr-bridelight;Crèmerie et Produits laitiers;;10.20;2.55
Margarine Demi-sel 15% Mat.Gr. BRIDELIGHT;margarine-demi-sel-15-mat-gr-bridelight;Crèmerie et Produits laitiers;;10.20;2.55
Margarine Demi-sel 15% Mat.Gr. BRIDELIGHT;margarine-demi-sel-15-mat-gr-bridelight;Crèmerie et Produits laitiers;;8.18;4.09
Beurre Doux  Bio CARREFOUR BIO;beurre-doux-bio-carrefour-bio;Bio et Ecologie;;11.96;2.99
Beurre Demi-sel  Bio CARREFOUR BIO;beurre-demi-sel-bio-carrefour-bio;Bio et Ecologie;;12.36;3.09
Beurre Doux  de Baratte Bio CARREFOUR BIO;beurre-doux-de-baratte-bio-carrefour-bio;Bio et Ecologie;;12.76;3.19
Beurre Demi-sel  Moulé de Baratte Bio CARREFOUR BIO;beurre-demi-sel-moule-de-baratte-bio-carrefour-bio;Bio et Ecologie;;12.76;3.19
Beurre  moulé demi-sel Bio CARREFOUR BIO;beurre-moule-demi-sel-bio-carrefour-bio;Crèmerie et Produits laitiers;;11.90;5.95
Beurre Doux  Moulé Bio CARREFOUR BIO;beurre-doux-moule-bio-carrefour-bio;Bio et Ecologie;;11.90;5.95
Crème Fluide Entière 30% Mg CARREFOUR BIO;lait;Crèmerie et Produits laitiers;;6.58;3.95
Crème  légère liquide 15% MG Bio CARREFOUR BIO;lait;Crèmerie et Produits laitiers;;6.25;3.75
Crème Fraîche Entière  Epaisse 30% Mat.Gr. Bio CARREFOUR BIO;lait;Crèmerie et Produits laitiers;;5.95;1.19
Crème Fraîche  Epaisse 30% Mat.Gr. Bio CARREFOUR BIO;lait;Crèmerie et Produits laitiers;;5.58;2.79
Beurre tendre doux CARREFOUR CLASSIC';beurre-tendre-doux-carrefour-classic;Crèmerie et Produits laitiers;;9.56;2.39
Beurre tendre demi-sel CARREFOUR CLASSIC';beurre-tendre-demi-sel-carrefour-classic;Crèmerie et Produits laitiers;;9.56;2.39
Beurre gastronomique doux CARREFOUR CLASSIC';beurre-gastronomique-doux-carrefour-classic;Crèmerie et Produits laitiers;;9.78;4.89
Beurre gastronomique doux CARREFOUR CLASSIC';beurre-gastronomique-doux-carrefour-classic;Crèmerie et Produits laitiers;;10.20;2.55
Beurre gastronomique demi-sel CARREFOUR CLASSIC';beurre-gastronomique-demi-sel-carrefour-classic;Crèmerie et Produits laitiers;;10.20;2.55
Beurre gastronomique doux CARREFOUR CLASSIC';beurre-gastronomique-doux-carrefour-classic;Crèmerie et Produits laitiers;;11.40;2.85
Beurre gastronomique demi-sel CARREFOUR CLASSIC';beurre-gastronomique-demi-sel-carrefour-classic;Crèmerie et Produits laitiers;;11.40;2.85
Beurre tendre doux CARREFOUR CLASSIC';beurre-tendre-doux-carrefour-classic;Crèmerie et Produits laitiers;;10.60;2.65
Beurre extra fin doux CARREFOUR CLASSIC';beurre-extra-fin-doux-carrefour-classic;Crèmerie et Produits laitiers;;11.60;1.45
Beurre extra-fin demi-sel CARREFOUR CLASSIC';beurre-extra-fin-demi-sel-carrefour-classic;Crèmerie et Produits laitiers;;11.60;1.45
Beurre doux 60% MG CARREFOUR CLASSIC';beurre-doux-60-mg-carrefour-classic;Crèmerie et Produits laitiers;;7.96;1.99
Beurre demi-sel 60% MG CARREFOUR CLASSIC';beurre-demi-sel-60-mg-carrefour-classic;Crèmerie et Produits laitiers;;7.96;1.99
Beurre extra fin demi-sel CARREFOUR CLASSIC';beurre-extra-fin-demi-sel-carrefour-classic;Crèmerie et Produits laitiers;;9.56;2.39
Beurre extra fin doux CARREFOUR CLASSIC';beurre-extra-fin-doux-carrefour-classic;Crèmerie et Produits laitiers;;9.56;2.39
Crème Légère Semi-Épaisse 18% Mg CARREFOUR CLASSIC';lait;Crèmerie et Produits laitiers;;3.58;2.15
Crème Fraîche Épaisse Légère 15% Mg CARREFOUR CLASSIC';lait;Crèmerie et Produits laitiers;;2.98;1.49
Crème Fraîche Épaisse Entière CARREFOUR CLASSIC';lait;Crèmerie et Produits laitiers;;3.98;1.99
Crème Entière Fouettée CARREFOUR CLASSIC';lait;Crèmerie et Produits laitiers;;7.80;1.95
Crème Légère Fouettée CARREFOUR CLASSIC';lait;Crèmerie et Produits laitiers;;7.40;1.85
Crème Entière Fluide 30% Mg CARREFOUR CLASSIC';lait;Crèmerie et Produits laitiers;;4.58;2.75
Crème Fluide Légère 12% Mg CARREFOUR CLASSIC';lait;Crèmerie et Produits laitiers;;5.10;2.55
Crème Entière Fluide 30% Mg CARREFOUR CLASSIC';lait;Crèmerie et Produits laitiers;;5.70;2.85
Crème Légère Fluide 12% Mg CARREFOUR CLASSIC';lait;Crèmerie et Produits laitiers;;3.32;1.99
Crème Entière Fluide 30% Mg CARREFOUR CLASSIC';lait;Crèmerie et Produits laitiers;;4.49;4.49
Crème Légère Fluide 12% Mg CARREFOUR CLASSIC';lait;Crèmerie et Produits laitiers;;3.29;3.29
