title,slug,topCategoryName,origin,price_unit
Carpaccio bœuf parmesan et marinade CHARAL,carpaccio-boeuf-parmesan-et-marinade-charal,Viandes et Poissons,FRANCE,28.70 € / KG
Brochettes de boeuf CARREFOUR LE MARCHE,brochettes-de-boeuf-carrefour-le-marche,Viandes et Poissons,FRANCE,20.30 € / KG
Brochettes de bœuf CARREFOUR,brochettes-de-boeuf-carrefour,Viandes et Poissons,FRANCE,18.32 € / KG
Brochettes de bœuf haché nature SOCOPA,brochettes-de-boeuf-hache-nature-socopa,Viandes et Poissons,FRANCE,13.00 € / KG
Brochettes bœuf haché Tex-mex SOCOPA,brochettes-boeuf-hache-tex-mex-socopa,Viandes et Poissons,FRANCE,12.98 € / KG
Viande Bovine:  Steak* à griller,viande-bovine-steak-a-griller,Viandes et Poissons,FRANCE,14.49 € / KG
Brochettes bœuf à la provençale SOCOPA,brochettes-boeuf-a-la-provencale-socopa,Viandes et Poissons,FRANCE,12.98 € / KG
Brochette de boeuf extra tendre SOCOPA,brochette-de-boeuf-extra-tendre-socopa,Viandes et Poissons,FRANCE,20.59 € / KG
Brochettes de bœuf à la provençale SOCOPA,brochettes-de-boeuf-a-la-provencale-socopa,Viandes et Poissons,FRANCE,23.50 € / KG
Brochettes au bœuf saveur barbecue SOCOPA,brochettes-au-boeuf-saveur-barbecue-socopa,Viandes et Poissons,FRANCE,13.75 € / KG
Brochette au bœuf  15% Halal saveur kefta DABIA,brochette-au-boeuf-15-halal-saveur-kefta-dabia,Viandes et Poissons,FRANCE,21.75 € / KG
Ribs de bœuf cuit sauce barbecue S.DE CAMPAGNE,ribs-de-boeuf-cuit-sauce-barbecue-s-de-campagne,Viandes et Poissons,FRANCE,11.44 € / KG
Viande bovine : pavés de rumsteak*** à griller CARREFOUR BIO,viande-bovine-paves-de-rumsteak-a-griller-carrefour-bio,Viandes et Poissons,FRANCE,30.96 € / KG
Viande bovine: Bavette d'Aloyau*** à griller CARREFOUR BIO,viande-bovine-bavette-d-aloyau-a-griller-carrefour-bio,Viandes et Poissons,FRANCE,47.31 € / KG
Viande hachée pur bœuf bio CARREFOUR BIO,viande-hachee-pur-boeuf-bio-carrefour-bio,Bio et Ecologie,FRANCE,17.00 € / KG
Viande bovine: entrecôte*** à griller CARREFOUR BIO,viande-bovine-entrecote-a-griller-carrefour-bio,Bio et Ecologie,FRANCE,40.00 € / KG
Viande bovine: steaks*** à griller CARREFOUR BIO,viande-bovine-steaks-a-griller-carrefour-bio,Bio et Ecologie,FRANCE,27.73 € / KG
Viande bovine : 4x STEAK** Charolais à griller CARREFOUR,viande-bovine-4x-steak-charolais-a-griller-carrefour,Viandes et Poissons,FRANCE,22.88 € / KG
Viande de bœuf steak *,viande-de-boeuf-steak,Viandes et Poissons,FRANCE,9.56 € / KG
Viande bovine : bourguignon *** à mijoter,viande-bovine-bourguignon-a-mijoter,Viandes et Poissons,FRANCE,7.10 € / KG
Viande bovine : côte de bœuf à griller,viande-bovine-cote-de-boeuf-a-griller,Viandes et Poissons,FRANCE,22.59 € / KG
Viande bovine : pavé de rumsteak*** à griller FILIERE QUALITE CARREFOUR,viande-bovine-pave-de-rumsteak-a-griller-filiere-qualite-carrefour,Viandes et Poissons,FRANCE,3.89 € / KG
Viande Bovine: Entrecôte*** à griller CARREFOUR,viande-bovine-entrecote-a-griller-carrefour,Viandes et Poissons,FRANCE,31.67 € / KG
Carpaccio de boeuf huile olive citron CARREFOUR,carpaccio-de-boeuf-huile-olive-citron-carrefour,Viandes et Poissons,FRANCE,24.55 € / KG
Viande Bovine: Pavé*** à griller CARREFOUR,viande-bovine-pave-a-griller-carrefour,Viandes et Poissons,FRANCE,25.32 € / KG
Viande bovine : Bavettes d'Aloyau*** à griller CARREFOUR,viande-bovine-bavettes-d-aloyau-a-griller-carrefour,Viandes et Poissons,FRANCE,28.85 € / KG
Tranches de bœuf CARREFOUR SELECTION,tranches-de-boeuf-carrefour-selection,Viandes et Poissons,FRANCE,36.58 € / KG
Chiffonnade de bœuf CARREFOUR SELECTION,chiffonnade-de-boeuf-carrefour-selection,Viandes et Poissons,FRANCE,34.08 € / KG
Carpaccio de boeuf huile d'olive et citron CARREFOUR LE MARCHE,carpaccio-de-boeuf-huile-d-olive-et-citron-carrefour-le-marche,Viandes et Poissons,FRANCE,22.05 € / KG
Pavés de bœuf nature CARREFOUR LE MARCHE,paves-de-boeuf-nature-carrefour-le-marche,Viandes et Poissons,FRANCE,20.79 € / KG
Pavés de bœuf à l'échalote CARREFOUR LE MARCHE,paves-de-boeuf-a-l-echalote-carrefour-le-marche,Viandes et Poissons,FRANCE,20.79 € / KG
Pavés de bœuf marinés 3 poivres CARREFOUR LE MARCHE,paves-de-boeuf-marines-3-poivres-carrefour-le-marche,Viandes et Poissons,FRANCE,20.79 € / KG
Viande bovine : 2x FILET*** tournedos à griller CARREFOUR,viande-bovine-2x-filet-tournedos-a-griller-carrefour,Viandes et Poissons,FRANCE,47.88 € / KG
Carpaccio de bœuf basilic parmesan CARREFOUR LE MARCHE,carpaccio-de-boeuf-basilic-parmesan-carrefour-le-marche,Viandes et Poissons,FRANCE,22.05 € / KG
Viande Bovine:  Bourguignon** à mijoter FILIERE QUALITE CARREFOUR,viande-bovine-bourguignon-a-mijoter-filiere-qualite-carrefour,Viandes et Poissons,FRANCE,7.10 € / KG
Viande de bœuf : entrecôte *** FILIERE QUALITE CARREFOUR,viande-de-boeuf-entrecote-filiere-qualite-carrefour,Viandes et Poissons,FRANCE,6.08 € / KG
Viande Bovine: Pièce à fondue FILIERE QUALITE CARREFOUR,viande-bovine-piece-a-fondue-filiere-qualite-carrefour,Viandes et Poissons,FRANCE,13.13 € / KG
Viande Bovine: bourguignon*** FILIERE QUALITE CARREFOUR,viande-bovine-bourguignon-filiere-qualite-carrefour,Viandes et Poissons,FRANCE,13.25 € / KG
Steaks** à griller viande bovine  CARREFOUR,steaks-a-griller-viande-bovine-carrefour,Viandes et Poissons,FRANCE,22.88 € / KG
Viande bovine : 1x FAUX FILET*** à griller CARREFOUR,viande-bovine-1x-faux-filet-a-griller-carrefour,Viandes et Poissons,FRANCE,26.61 € / KG
Viande de bœuf : faux filet *** FILIERE QUALITE CARREFOUR,viande-de-boeuf-faux-filet-filiere-qualite-carrefour,Viandes et Poissons,FRANCE,4.86 € / KG
Viande bovine : basse côte** FILIERE QUALITE CARREFOUR,viande-bovine-basse-cote-filiere-qualite-carrefour,Viandes et Poissons,FRANCE,3.15 € / KG
Viande Bovine: bourguignon**  FILIERE QUALITE CARREFOUR,viande-bovine-bourguignon-filiere-qualite-carrefour,Viandes et Poissons,FRANCE,12.80 € / KG
Boulettes au bœuf natures CARREFOUR LE MARCHE,boulettes-au-boeuf-natures-carrefour-le-marche,Viandes et Poissons,FRANCE,12.87 € / KG
Viande Bovine: Onglet*** à griller CARREFOUR LE MARCHE,viande-bovine-onglet-a-griller-carrefour-le-marche,Viandes et Poissons,FRANCE,4.42 € / KG
Rôti de bœuf prêt à cuire CARREFOUR LE MARCHE,roti-de-boeuf-pret-a-cuire-carrefour-le-marche,Viandes et Poissons,FRANCE,15.05 € / KG
Viande Bovine: Paleron*** à mijoter CARREFOUR LE MARCHE,viande-bovine-paleron-a-mijoter-carrefour-le-marche,Viandes et Poissons,FRANCE,9.40 € / KG
Viande bovine BOURGUIGNON*** à mijoter CARREFOUR LE MARCHE,viande-bovine-bourguignon-a-mijoter-carrefour-le-marche,Viandes et Poissons,FRANCE,17.90 € / KG
Viande Bovine bourguignon** FILIERE QUALITE CARREFOUR,viande-bovine-bourguignon-filiere-qualite-carrefour,Viandes et Poissons,FRANCE,10.12 € / KG
Viande bovine : côte de bœuf à griller,viande-bovine-cote-de-boeuf-a-griller,Viandes et Poissons,FRANCE,22.86 € / KG
Viande bovine : entrecôte *** à griller,viande-bovine-entrecote-a-griller,Viandes et Poissons,FRANCE,6.91 € / KG
Viande bovine : faux filet *** à griller,viande-bovine-faux-filet-a-griller,Viandes et Poissons,FRANCE,5.26 € / KG
Viande bovine: Faux filet *** à griller FILIERE QUALITE CARREFOUR,viande-bovine-faux-filet-a-griller-filiere-qualite-carrefour,Viandes et Poissons,FRANCE,18.91 € / KG
Viande bovine : jarret avec os à mijoter,viande-bovine-jarret-avec-os-a-mijoter,Viandes et Poissons,FRANCE,8.22 € / KG
Viande bovine : paleron à mijoter,viande-bovine-paleron-a-mijoter,Viandes et Poissons,FRANCE,6.82 € / KG
Viande de bœuf : pot au feu**,viande-de-boeuf-pot-au-feu,Viandes et Poissons,FRANCE,14.97 € / KG
Viande bovine : pot au feu ** avec os à mijoter (plat de côte),viande-bovine-pot-au-feu-avec-os-a-mijoter-plat-de-cote,Viandes et Poissons,FRANCE,9.16 € / KG
Viande bovine : 1x ROTI**,viande-bovine-1x-roti,Viandes et Poissons,FRANCE,17.16 € / KG
Viande bovine : 1x BAVETTE D'ALOYAU*** à griller,viande-bovine-1x-bavette-d-aloyau-a-griller,Viandes et Poissons,FRANCE,3.54 € / KG
Viande de bœuf: bavette*** CARREFOUR LE MARCHE,viande-de-boeuf-bavette-carrefour-le-marche,Viandes et Poissons,FRANCE,9.57 € / KG
Viande bovine : rumsteak*** à griller,viande-bovine-rumsteak-a-griller,Viandes et Poissons,FRANCE,3.52 € / KG
Viande bovine : 1x STEAK** à griller,viande-bovine-1x-steak-a-griller,Viandes et Poissons,FRANCE,2.94 € / KG
Viande bovine : pavé de rumsteak*** à griller,viande-bovine-pave-de-rumsteak-a-griller,Viandes et Poissons,FRANCE,3.89 € / KG
Viande bovine : entrecôte *** à griller,viande-bovine-entrecote-a-griller,Viandes et Poissons,FRANCE,14.93 € / KG
Viande bovine: Steak ** à griller FILIERE QUALITE CARREFOUR,viande-bovine-steak-a-griller-filiere-qualite-carrefour,Viandes et Poissons,FRANCE,10.25 € / KG
Viande de bœuf rumsteck ***,viande-de-boeuf-rumsteck,Viandes et Poissons,FRANCE,12.68 € / KG
Viande de bœuf basse côte **,viande-de-boeuf-basse-cote,Viandes et Poissons,FRANCE,6.99 € / KG
Viande de bœuf paleron ***,viande-de-boeuf-paleron,Viandes et Poissons,FRANCE,7.11 € / KG
Viande Bovine:  Pot au feu*** sans os à mijoter FILIERE QUALITE CARREFOUR,viande-bovine-pot-au-feu-sans-os-a-mijoter-filiere-qualite-carrefour,Viandes et Poissons,FRANCE,5.35 € / KG
Viande bovine : basse côte** FILIERE QUALITE CARREFOUR,viande-bovine-basse-cote-filiere-qualite-carrefour,Viandes et Poissons,FRANCE,6.30 € / KG
Viande de bœuf : rumsteak*** FILIERE QUALITE CARREFOUR,viande-de-boeuf-rumsteak-filiere-qualite-carrefour,Viandes et Poissons,FRANCE,3.63 € / KG
Viande bovine : rumsteak*** FILIERE QUALITE CARREFOUR,viande-bovine-rumsteak-filiere-qualite-carrefour,Viandes et Poissons,FRANCE,19.84 € / KG
Viande Bovine: Pièce brochette FILIERE QUALITE CARREFOUR,viande-bovine-piece-brochette-filiere-qualite-carrefour,Viandes et Poissons,FRANCE,13.13 € / KG
Viande Bovine: Rôti** FILIERE QUALITE CARREFOUR,viande-bovine-roti-filiere-qualite-carrefour,Viandes et Poissons,FRANCE,15.92 € / KG
Viande bovine : basse côte** FILIERE QUALITE CARREFOUR,viande-bovine-basse-cote-filiere-qualite-carrefour,Viandes et Poissons,FRANCE,11.36 € / KG
Viande bovine : 1x BAVETTE D'ALOYAU*** à griller,viande-bovine-1x-bavette-d-aloyau-a-griller,Viandes et Poissons,FRANCE,3.38 € / KG
Pavé CHARAL,pave-charal,Viandes et Poissons,FRANCE,19.98 € / KG
Viande de bœuf pièce à fondue,viande-de-boeuf-piece-a-fondue,Viandes et Poissons,FRANCE,12.59 € / KG
Viande de bœuf côte ***avec os,viande-de-boeuf-cote-avec-os,Viandes et Poissons,FRANCE,15.99 € / KG
Viande de bœuf rôti de rumsteck ***,viande-de-boeuf-roti-de-rumsteck,Viandes et Poissons,FRANCE,13.89 € / KG
Faux filet CHARAL,faux-filet-charal,Viandes et Poissons,FRANCE,19.98 € / KG
Façon Tournedos CHARAL,facon-tournedos-charal,Viandes et Poissons,FRANCE,19.98 € / KG
Fondant  de faux filet CHARAL,fondant-de-faux-filet-charal,Viandes et Poissons,FRANCE,21.40 € / KG
