Date;product_family;title;price;total_kg_co2;total_kg_co2_farming;total_kg_co2_processing;total_kg_co2_packaging;total_kg_co2_transport;total_kg_co2_retail;total_kg_co2_consumption
07/07/2022;Surgelés;Glace au Café LA LAITIERE;3,99;0,928743575;0,50487715;0,074506143;0,20685258;0,121072482;0,018087346;0,003347875
24/02/2022;Boissons;Bière Blonde Belge LA CHOUFFE;2,59;0,444434102;0,026361911;0,090072611;0,204890446;0,108878981;0,011976688;0,002253465
21/08/2024;Crèmerie et Produits laitiers;Fromage Bleu d'Auvergne AOP FILIERE QUALITE CARREFOUR;4,12;1,463873455;1,215474909;0,067742788;0,105946424;0,063822545;0,009188848;0,001697939
04/10/2023;Boissons;Vin Rouge I.G.P. Pays d'Oc Cabernet-Syrah JP. CHENET;11,35;3,809246164;0,903796296;0,099387566;2,038796296;0,699616402;0,047141534;0,020508069
02/10/2022;Crèmerie et Produits laitiers;Fromage Chamois d'Or;0,91;1,164839738;0,967182969;0,053904585;0,084304148;0,050785153;0,00731179;0,001351092
13/08/2024;Boissons;Vin rouge AOP Fitou;3,99;0,9514725;0,22575;0,024825;0,50925;0,17475;0,011775;0,0051225
20/04/2023;Boissons;Boisson énergisante  goût fruit du dragon RED BULL;1,45;0,1233325;0,02255;0,00325;0,0345;0,05225;0,009075;0,0017075
12/08/2022;Crèmerie et Produits laitiers;Fromage à Tartiner Créme de Maroilles LESIRE;3,15;1,055268;0,876204;0,048834;0,076374;0,046008;0,006624;0,001224
14/10/2024;Crèmerie et Produits laitiers;Mascarpone à l'ancienne L'ITALIE DES FROMAGES;7,55;2,9313;2,4339;0,13565;0,21215;0,1278;0,0184;0,0034
28/01/2023;Boissons;Bière Blonde G Houblon Grand Cru LA GOUDALE;1,95;0,444451523;0,026362944;0,090076142;0,204898477;0,108883249;0,011977157;0,002253553
18/09/2024;Boissons;Vin Rosé Sud-Ouest Malbec;15,35;6,34315;1,505;0,1655;3,395;1,165;0,0785;0,03415
11/01/2023;Epicerie salée;Sardines à l'huile d'olive  CONNETABLE;3,85;0,34335378;0,18634;0,04229078;0,067347;0,04242;0,004956;0
21/12/2022;Crèmerie et Produits laitiers;Fromage Râpé   Emmental Au Lait Pasteurisé Bio CARREFOUR BIO;2,29;1,17252;0,97356;0,05426;0,08486;0,05112;0,00736;0,00136
08/02/2024;Crèmerie et Produits laitiers;Fromage frais en faisselle nature  2% MG LA BRESSANE;2,79;3,51756;2,92068;0,16278;0,25458;0,15336;0,02208;0,00408
18/09/2024;Epicerie sucrée;Infusion digestion délicieuse, bio PUKKA;4,89;0,00174348;0,000896;0;0,0002556;0,0001252;6,68E-06;0,00046
07/04/2024;Epicerie sucrée;Yerba Maté;3,90;0,0217935;0,0112;0;0,003195;0,001565;0,0000835;0,00575
10/03/2025;Boissons;Boisson coco et nata de coco MOGU MOGU;1,65;0,157750872;0,028843023;0,004156977;0,044127907;0,066831395;0,011607558;0,002184012
30/01/2023;Fruits et Légumes;Nectarines chair jaune;4,49;1,229955321;0,426950893;0,000216482;0;0,597330357;0,043897768;0,161559821
14/02/2025;Epicerie sucrée;Barres son avoine chocolat sans sucres ajoutés DUKAN;5,39;0,258016852;0,22462333;0,006935485;0,010799199;0,010943188;0,00471565;0
17/09/2023;Boissons;Bière aromatisée ESTRIBOS;5,79;2,670994418;0,158431849;0,541325342;1,231366438;0,654349315;0,071978425;0,013543048
02/01/2024;Viandes et Poissons;Crevettes bio nature L'ASSIETTE BLEUE;5,05;0,12262635;0,06655;0,01510385;0,0240525;0,01515;0,00177;0
28/02/2023;Viandes et Poissons;Pilons de poulet blanc Halal;5,90;4,56043;3;0,83;0,378;0,305;0,0406;0,00683
15/10/2023;Crèmerie et Produits laitiers;Riz au lait   cannelle TEURGOULE DE JANVILLE;1,09;0,172495873;0,121744154;0,001859147;0,014378404;0,032085282;0,002428886;0
10/11/2022;Epicerie sucrée;Bonbons World Mix HARIBO;3,35;0,873879825;0,423745614;0,178078947;0,135763158;0,124008772;0,012283333;0
26/07/2024;Crèmerie et Produits laitiers;Fromage Gouda;2,50;1,290184859;1,071258803;0,059705106;0,09337588;0,05625;0,008098592;0,001496479
03/09/2024;Epicerie salée;Riz Thaï TAUREAU AILE;2,29;0,1917465;0,04205;0,0000965;0;0,099;0,0103;0,0403
22/03/2023;Crèmerie et Produits laitiers;Fromage frais à tartiner Ail et fines herbes Onctueux BOURSIN;2,19;0,917078143;0,761463;0,042439071;0,066372643;0,039983143;0,005756571;0,001063714
26/11/2024;Epicerie sucrée;Biscuit complet au germe de blé GERBLE;1,39;0,257478288;0,139734894;0,031713522;0,050502983;0,031810423;0,003716465;0
11/08/2022;Epicerie salée;Thon entier au naturel MSC SAUPIQUET;3,75;0,926977307;0,671502976;0;0,087239583;0,159412202;0,007552083;0,001270461
02/09/2024;Epicerie sucrée;Café Capsules Compatibles Nespresso Espresso Savoroso Intensité 7 CARREFOUR SELECTION;7,85;0,132177651;0,090688924;0,003764838;0,026832273;0,008361685;0,000200306;0,002329624
31/10/2024;Boissons;Vin Rouge I.G.P. Pays d'Oc LE ROUGE LEGER GIO;4,90;0,951958193;0,225865237;0,024837672;0,509509954;0,174839204;0,011781011;0,005125115
21/02/2023;Crèmerie et Produits laitiers;Parmigiano Reggiano Copeaux AOP TREO;4,29;0,58626;0,48678;0,02713;0,04243;0,02556;0,00368;0,00068
24/12/2024;Boissons;Vin Blanc Sud-Ouest Côtes de Gascogne DIAMONT DE L'HERRE;7,50;0,9514725;0,22575;0,024825;0,50925;0,17475;0,011775;0,0051225
15/02/2025;Boissons;Boisson aux fruits saveur exotique SIMPL;0,99;0,9767934;0,178596;0,02574;0,27324;0,41382;0,071874;0,0135234
21/11/2022;Fruits et Légumes;Tomates rondes en grappe vrac;4,90;0,6256;0,222;0;0;0,298;0,025;0,0806
12/08/2022;Fruits et Légumes;Noix de pécan DACO BELLO;4,55;0,51425;0,38375;0;0,047;0,037;0,006125;0,040375
24/10/2024;Epicerie sucrée;Bonbons bananes LE P'TIT FRIQUET;7,99;1,361932227;0,442223265;0,000184385;0;0,670080675;0,042573358;0,206870544
15/07/2024;Surgelés;Tarte saumon poireaux CARREFOUR CLASSIC';3,09;0,155027942;0,027617876;7,60492E-06;0;0,108870466;0,005603627;0,012928368
24/11/2023;Epicerie sucrée;Bouchées chocolat au lait noisettes et gaufrette FERRERO ROCHER;5,15;1,57796;1,3374;0,0666;0,1444;0,02216;0,0074;0
31/01/2024;Epicerie sucrée;Bonbons halal pastèques SAMIA;2,65;0,29738;0,1442;0,0606;0,0462;0,0422;0,00418;0
20/02/2022;Fruits et Légumes;Pruneau d'Agen dénoyautés PETIT PRIX;7,85;1,0345215;0,64;0,0000215;0;0,298;0,0159;0,0806
13/03/2025;Viandes et Poissons;Maki concombre veggie + sauce IZAKAYA;3,50;0,5122949;0,196;0,0000949;0;0,262;0,0219;0,0323
12/06/2024;Crèmerie et Produits laitiers;Beurre de Baratte Demi-sel Grand Cru LE GALL;3,65;1,9783325;1,82125;0,01255;0,031;0,10175;0,010075;0,0017075
21/05/2022;Epicerie sucrée;Bonbons bananes SEREBIS;1,20;0,0908523;0,0295;0,0000123;0;0,0447;0,00284;0,0138
23/01/2022;Epicerie sucrée;Tablette de Chocolat Caramel Salé KITKAT;2,49;0,1214074;0,065888469;0,014953712;0,02381341;0,014999404;0,001752406;0
01/12/2024;Epicerie salée;Foie gras de canard entier CARREFOUR ORIGINAL;12,75;1,0076125;0,75625;0,13;0,059;0,044875;0,0063375;0,01115
06/12/2024;Viandes et Poissons;Viande Bovine: Rôti** FILIERE QUALITE CARREFOUR;12,73;22,39677978;21,84303811;0,071099822;0,173518216;0,246550461;0,035156763;0,027416411
22/08/2022;Surgelés;Frites allumettes CARREFOUR CLASSIC';2,09;1,457;0,398;0,137;0,247;0,389;0,166;0,12
12/04/2022;Epicerie sucrée;Génoises saveur poire CARREFOUR EXTRA;1,19;0,058122271;0,010354351;2,8512E-06;0;0,04081715;0,002100883;0,004847037
19/12/2024;Epicerie sucrée;Biscuits navette à l'amande BISCUITERIE CASTELLANE;4,25;0,118802047;0,024834157;0;0;0,07858151;0,005698659;0,009687721
17/01/2022;Epicerie sucrée;Thé noir Russian Earl Grey Carrefour CARREFOUR;1,85;0,001569098;0,000806383;0;0,000230035;0,000112678;6,01187E-06;0,000413991
28/09/2024;Epicerie sucrée;Café dosettes extra long corsé SENSEO;4,69;0,15886575;0,109;0,004525;0,03225;0,01005;0,00024075;0,0028
