title;slug;product_family;origin;price;total_g_co2;total_g_co2_farming;total_g_co2_processing;total_g_co2_packaging;total_g_co2_transport;total_g_co2_retail;total_g_co2_consumption
Beurre d’Isigny de baratte doux AOP REFLETS DE FRANCE;beurre-d-isigny-de-baratte-doux-aop-reflets-de-france;Crèmerie et Produits laitiers;;3,09;1,98;1,82;0,0125;0,031;0,102;0,0101;0,0017
Crème Fraîche D’Isigny Aop REFLETS DE FRANCE;lait;Crèmerie et Produits laitiers;;2,99;0,46;0,325;0,005;0,0383;0,0855;0,0065;0
Beurre gastronomique demi-sel CARREFOUR CLASSIC';beurre-gastronomique-demi-sel-carrefour-classic;Crèmerie et Produits laitiers;;4,99;3,96;3,64;0,0251;0,062;0,204;0,0202;0,0034
Crème Semi-Épaisse Légère 18% Mat.Gr. CARREFOUR;lait;Crèmerie et Produits laitiers;;2,49;0,575;0,406;0,0062;0,048;0,107;0,0081;0
Crème Fluide Légère 12% Mat.Gr. CARREFOUR;lait;Crèmerie et Produits laitiers;;1,89;0,461;0,325;0,005;0,0384;0,0857;0,0065;0
Crème Anglaise CARREFOUR;lait;Crèmerie et Produits laitiers;;1,45;0,575;0,406;0,0062;0,048;0,107;0,0081;0
Crème Fraîche Entière Epaisse 30% Mat.Gr. CARREFOUR;lait;Crèmerie et Produits laitiers;;0,95;0,23;0,162;0,0025;0,0192;0,0428;0,0032;0
Crème Fraîche Légère 15% Mat.Gr. CARREFOUR;lait;Crèmerie et Produits laitiers;;1,29;0,575;0,406;0,0062;0,048;0,107;0,0081;0
Crème Fraîche Epaisse 30% Mat.Gr. CARREFOUR;lait;Crèmerie et Produits laitiers;;1,89;0,575;0,406;0,0062;0,048;0,107;0,0081;0
Matière grasse laitière à tartiner doux CARREFOUR;matiere-grasse-laitiere-a-tartiner-doux-carrefour;Crèmerie et Produits laitiers;;1,75;0,288;0,203;0,0031;0,024;0,0535;0,0041;0
Beurre de montagne doux CARREFOUR EXTRA;beurre-de-montagne-doux-carrefour-extra;Crèmerie et Produits laitiers;;2,79;1,98;1,82;0,0125;0,031;0,102;0,0101;0,0017
