Entity,Code,Year,food_emissions_land_use,food_emissions_farm,food_emissions_animal_feed,food_emissions_processing,food_emissions_transport,food_emissions_retail,food_emissions_packaging,food_emissions_losses,time,time,time,time,time,time,time,time
Apples,,2018,,49.37458012124694,0,0.8352725606249755,20.947632646264697,3.624694171189723,9.735692182027183,15.482128318646494,2018,2018,2018,2018,2018,2018,2018,2018
Bananas,,2018,,30.381920955313653,0,6.77753770470117,33.33561832041802,2.3642092354947017,7.4000495000027895,19.740664284069656,2018,2018,2018,2018,2018,2018,2018,2018
Barley,,2018,0.7357326845528309,14.957682041364023,0,10.82985790865658,2.997966329718276,22.353585888367,42.13012225816364,5.995052889177658,2018,2018,2018,2018,2018,2018,2018,2018
Beef (beef herd),,2018,23.35961209499595,56.52345174080539,2.6950628018522824,1.8205973668367266,0.49672041597520644,0.2347647075295056,0.3539340942460106,14.515856777758936,2018,2018,2018,2018,2018,2018,2018,2018
Beef (dairy herd),,2018,3.801709432763361,65.8096429062005,10.52110087160299,4.647446175716595,1.7789339080026496,0.7628278748709068,1.1247249499717977,11.553613880871204,2018,2018,2018,2018,2018,2018,2018,2018
Beet Sugar,,2018,0.002864117491728412,29.563945341159712,0,13.348523475692112,34.68638890245527,2.1700167735744045,4.982628768708164,15.245632620918597,2018,2018,2018,2018,2018,2018,2018,2018
Berries & Grapes,,2018,1.6059294995153428,46.86043904064193,0,0,15.431428185271336,1.113456643640673,13.779904604629648,21.20884202630108,2018,2018,2018,2018,2018,2018,2018,2018
Brassicas,,2018,0.4357852443204622,53.977627577255966,0,0,18.392711916178538,3.2734790559832696,8.804294003663905,15.116102202597874,2018,2018,2018,2018,2018,2018,2018,2018
Cane Sugar,,2018,39.48329168234066,15.357346024331724,0,1.168548272909695,24.83679677159761,1.1479798577956786,2.634547767856146,15.371489623168491,2018,2018,2018,2018,2018,2018,2018,2018
Cassava,,2018,44.80100947972666,16.7209701120093,0,0,7.114021378719542,2.9887597746872374,3.406767121716167,24.968472133141095,2018,2018,2018,2018,2018,2018,2018,2018
Cheese,,2018,18.709919854161004,54.84449651930401,9.854673044630495,3.1007591859508086,0.5802793077531225,1.3960280899336444,0.7207217909922554,10.793122207274655,2018,2018,2018,2018,2018,2018,2018,2018
Citrus Fruit,,2018,,57.48594018135991,0,0,17.589790681954227,3.1270567152421376,8.38398446899539,13.41322795244834,2018,2018,2018,2018,2018,2018,2018,2018
Coffee,,2018,13.386185876697246,37.697965103750306,0,2.1494223663523693,0.47156676556842125,0.18398403951307626,5.915247551258563,40.19562829686002,2018,2018,2018,2018,2018,2018,2018,2018
Dark Chocolate,,2018,55.341123746787595,14.33541018268127,0,0.7154709093495175,0.23768303135840543,0.08071778179984271,1.5487331646440063,27.74086118337937,2018,2018,2018,2018,2018,2018,2018,2018
Eggs,,2018,15.213314209473786,28.26094367611757,47.221889721432866,0,1.8002881235612218,0.7627403909026951,3.457294233649343,3.2835296448625324,2018,2018,2018,2018,2018,2018,2018,2018
Fish (farmed),,2018,8.763777272201986,59.09515681218503,13.456282052794487,0.32715064344984396,1.8188859402490303,0.6600108569136686,1.0088974543258058,14.869838967880145,2018,2018,2018,2018,2018,2018,2018,2018
Groundnuts,,2018,15.0201349601939,48.790947051827374,0,12.72185069604167,4.105160100058738,1.4511581371871176,3.3882168000923647,14.522532254598842,2018,2018,2018,2018,2018,2018,2018,2018
Lamb & Mutton,,2018,1.631948487170409,68.03677095787911,8.265314095286085,3.875901782980072,1.7090017886074742,0.7572932572376085,0.8750849964150743,14.848684634424153,2018,2018,2018,2018,2018,2018,2018,2018
Maize,,2018,27.926290056681296,42.15513161472338,0,4.602917649283449,5.311578391291941,2.310475014086843,5.305138411298081,12.38846886263502,2018,2018,2018,2018,2018,2018,2018,2018
Milk,,2018,16.252161144419773,47.87424711683847,7.7359058892501205,4.892219297105488,2.958239072872907,8.412860810161707,3.1785966508681285,8.695770018483412,2018,2018,2018,2018,2018,2018,2018,2018
Nuts,,2018,,91.22614796453851,0,1.390112611420485,2.8855371685329554,1.152721831671083,3.3454804238369626,,2018,2018,2018,2018,2018,2018,2018,2018
Oatmeal,,2018,0.0778768932858337,75.48525639458022,0,2.3317642751093843,3.6798228901002403,1.5852918677073624,3.6400275624721874,13.199960116744759,2018,2018,2018,2018,2018,2018,2018,2018
