title,slug,topCategoryName,origin,price_unit
Fraises Gariguette  CARREFOUR,fraises-gariguette-carrefour,Fruits et Légumes,FRANCE,15.96 € / KG
Framboises,framboises,Fruits et Légumes,origine UE et Hors U.E.,23.92 € / KG
Mandarines vrac,mandarines-vrac,Fruits et Légumes,ESPAGNE,3.79 € / KG
Oranges à dessert,oranges-a-dessert,Fruits et Légumes,ESPAGNE,1.74 € / KG
Oranges à jus,oranges-a-jus,Fruits et Légumes,ORIGINE C.E.E.,1.74 € / KG
Carottes,carottes,Fruits et Légumes,FRANCE,2.19 € / KG
Carottes,carottes,Fruits et Légumes,ORIGINE C.E.E.,2.19 € / KG
Kiwi Hayward,kiwi-hayward,Fruits et Légumes,FRANCE,0.69 € / U
Bananes Cavendish vrac,bananes-cavendish-vrac,Fruits et Légumes,COLOMBIE,1.99 € / KG
Pommes Pink Lady vrac,pommes-pink-lady-vrac,Fruits et Légumes,FRANCE,3.69 € / KG
Pommes Golden Delicious vrac FILIERE QUALITE CARREFOUR,pommes-golden-delicious-vrac-filiere-qualite-carrefour,Fruits et Légumes,FRANCE,1.99 € / KG
Pommes Pink Lady,pommes-pink-lady,Fruits et Légumes,FRANCE,3.29 € / U
Pommes Golden Delicious,pommes-golden-delicious,Fruits et Légumes,FRANCE,1.64 € / KG
Carottes Bio,carottes-bio,Fruits et Légumes,FRANCE,1.86 € / KG
Pommes bicolores,pommes-bicolores,Bio et Ecologie,FRANCE,2.59 € / U
Bananes SIMPL,bananes-simpl,Fruits et Légumes,COSTA RICA,0.99 € / U
Pommes Gala,pommes-gala,Fruits et Légumes,FRANCE,1.64 € / KG
Pommes de terre vapeur blanches,pommes-de-terre-vapeur-blanches,Fruits et Légumes,FRANCE,1.10 € / KG
Citron jaune,citron-jaune,Fruits et Légumes,ESPAGNE,0.69 € / U
Myrtilles,myrtilles,Fruits et Légumes,origine UE et Hors U.E.,18.32 € / KG
Pomme de terre de consommation AMANDINE,pomme-de-terre-de-consommation-amandine,Fruits et Légumes,FRANCE,2.24 € / KG
Oranges Bio,oranges-bio,Bio et Ecologie,ESPAGNE,2.39 € / KG
Citrons SIMPL,citrons-simpl,Fruits et Légumes,ESPAGNE,1.98 € / KG
Champignons blancs,champignons-blancs,Fruits et Légumes,POLOGNE,4.95 € / KG
Mangue,mangue,Fruits et Légumes,ISRAEL,2.19 € / U
Pommes Gala vrac FILIERE QUALITE CARREFOUR,pommes-gala-vrac-filiere-qualite-carrefour,Fruits et Légumes,FRANCE,2.49 € / KG
Pommes bicolores Bio,pommes-bicolores-bio,Bio et Ecologie,FRANCE,3.00 € / KG
Ananas Extra Sweet,ananas-extra-sweet,Fruits et Légumes,COSTA RICA,2.29 € / U
Bananes Max Havelaar CARREFOUR BIO,bananes-max-havelaar-carrefour-bio,Bio et Ecologie,FRANCE,1.99 € / U
Salade feuille de chêne rouge BONDUELLE,salade-feuille-de-chene-rouge-bonduelle,Fruits et Légumes,FRANCE,12.51 € / KG
Fraises rondes,fraises-rondes,Fruits et Légumes,FRANCE,3.98 € / KG
Concombre,concombre,Fruits et Légumes,FRANCE,1.19 € / U
Courgette vrac,courgette-vrac,Fruits et Légumes,ESPAGNE,1.89 € / KG
Figues moelleuses Bio CARREFOUR BIO,figues-moelleuses-bio-carrefour-bio,Fruits et Légumes,FRANCE,14.76 € / KG
Jus D'Oranges 100% Pur Jus Sans Sucres Ajoutés ANDROS,jus-d-oranges-100-pur-jus-sans-sucres-ajoutes-andros,Fruits et Légumes,,2.98 € / L
Kiwi Hayward Bio,kiwi-hayward-bio,Bio et Ecologie,ITALIE,0.62 € / U
Reine Claude en conversion Bio,reine-claude-en-conversion-bio,Fruits et Légumes,FRANCE,5.40 € / KG
Citron vert,citron-vert,Fruits et Légumes,BRESIL,0.59 € / U
Fraises rondes,fraises-rondes,Fruits et Légumes,FRANCE,7.98 € / KG
Fraises rondes,fraises-rondes,Fruits et Légumes,ESPAGNE,8.99 € / KG
Fraises Mara des Bois  CARREFOUR,fraises-mara-des-bois-carrefour,Fruits et Légumes,FRANCE,13.96 € / KG
Fraises ronde,fraises-ronde,Fruits et Légumes,FRANCE,10.00 € / KG
Fraises rondes,fraises-rondes,Fruits et Légumes,FRANCE,7.98 € / KG
Fruit de la passion,fruit-de-la-passion,Fruits et Légumes,VIET NAM,1.30 € / U
Fruit de la passion,fruit-de-la-passion,Fruits et Légumes,origine UE et Hors U.E.,2.50 € / U
Kiwis Hayward,kiwis-hayward,Fruits et Légumes,NOUVELLE-ZELANDE,3.99 € / KG
Pitahaya,pitahaya,Fruits et Légumes,FRANCE,5.19 € / KG
Poires Rochas vrac,poires-rochas-vrac,Fruits et Légumes,PORTUGAL,3.79 € / KG
Pomelo rouge,pomelo-rouge,Fruits et Légumes,AFRIQUE DU SUD,0.99 € / U
Pomelo SIMPL,pomelo-simpl,Fruits et Légumes,origine UE et Hors U.E.,0.99 € / U
Abricots vrac Bio,abricots-vrac-bio,Fruits et Légumes,FRANCE,6.99 € / KG
Abricots en conversion Bio,abricots-en-conversion-bio,Fruits et Légumes,FRANCE,5.98 € / KG
Abricots Bergeron en conversion Biologique,abricots-bergeron-en-conversion-biologique,Fruits et Légumes,FRANCE,3.99 € / KG
Ananas Bio Extra Sweet CARREFOUR,ananas-bio-extra-sweet-carrefour,Fruits et Légumes,COSTA RICA,3.99 € / U
Bananes Bio Cavendish,bananes-bio-cavendish,Bio et Ecologie,PEROU,1.99 € / U
Cerise rouge Burlat en conversion Bio Bio BURLAT,cerise-rouge-burlat-en-conversion-bio-bio-burlat,Fruits et Légumes,FRANCE,17.56 € / KG
Citron jaune Primofiori Bio,citron-jaune-primofiori-bio,Fruits et Légumes,ORIGINE C.E.E.,3.38 € / KG
Citrons Bio,citrons-bio,Fruits et Légumes,ESPAGNE,3.58 € / KG
Citrons verts Bio,citrons-verts-bio,Fruits et Légumes,COLOMBIE,2.29 € / U
Citrons vrac Bio,citrons-vrac-bio,Fruits et Légumes,ESPAGNE,3.99 € / KG
Citrons jaunes Bio,citrons-jaunes-bio,Fruits et Légumes,ORIGINE C.E.E.,2.99 € / KG
Citrons jaunes,citrons-jaunes,Fruits et Légumes,ESPAGNE,3.78 € / KG
Clémentine  de Corse en conversion Bio,clementine-de-corse-en-conversion-bio,Fruits et Légumes,FRANCE,4.92 € / KG
Clémentine feuille bio  Corse CARREFOUR BIO,clementine-feuille-bio-corse-carrefour-bio,Fruits et Légumes,FRANCE,2.91 € / KG
Clémentines Bio,clementines-bio,Fruits et Légumes,ESPAGNE,3.99 € / KG
Clémentines CARREFOUR BIO,clementines-carrefour-bio,Fruits et Légumes,FRANCE,7.05 € / KG
Clémentines feuilles Bio,clementines-feuilles-bio,Fruits et Légumes,origine UE et Hors U.E.,5.32 € / KG
Clémentines de Corse en conversion biologique,clementines-de-corse-en-conversion-biologique,Fruits et Légumes,FRANCE,7.18 € / KG
Clémentines de Corse Bio,clementines-de-corse-bio,Fruits et Légumes,FRANCE,7.98 € / KG
Clémentines à feuille Bio,clementines-a-feuille-bio,Fruits et Légumes,ESPAGNE,5.05 € / KG
Clémentines bio,clementines-bio,Fruits et Légumes,ORIGINE C.E.E.,3.99 € / U
Figues Bio,figues-bio,Bio et Ecologie,FRANCE,22.20 € / KG
Fraises Gariguette Bio,fraises-gariguette-bio,Fruits et Légumes,FRANCE,19.92 € / KG
Fraises Rondes Bio,fraises-rondes-bio,Fruits et Légumes,FRANCE,11.96 € / KG
Fraises rondes CARREFOUR BIO,fraises-rondes-carrefour-bio,Fruits et Légumes,FRANCE,11.16 € / KG
Framboise Bio,framboise-bio,Fruits et Légumes,FRANCE,27.92 € / KG
Framboises bio,framboises-bio,Fruits et Légumes,ESPAGNE,22.32 € / KG
Grenade Bio CARREFOUR BIO,grenade-bio-carrefour-bio,Fruits et Légumes,FRANCE,2.19 € / U
Grenade Bio,grenade-bio,Fruits et Légumes,ORIGINE C.E.E.,2.99 € / U
Grenades Bio,grenades-bio,Bio et Ecologie,FRANCE,4.59 € / U
Kaki persimon Bio,kaki-persimon-bio,Fruits et Légumes,ORIGINE C.E.E.,2.99 € / U
Kiwi  Kiwis bio Hayward,kiwi-kiwis-bio-hayward,Fruits et Légumes,FRANCE,3.99 € / KG
Kiwi Hayward Bio,kiwi-hayward-bio,Fruits et Légumes,ITALIE,3.69 € / KG
Kiwi Hayward Bio HAYWARD,kiwi-hayward-bio-hayward,Fruits et Légumes,ORIGINE C.E.E.,2.96 € / KG
Kiwi vert Bio Hayward,kiwi-vert-bio-hayward,Fruits et Légumes,FRANCE,5.99 € / KG
Kiwi jaune vrac Bio Sungold,kiwi-jaune-vrac-bio-sungold,Fruits et Légumes,FRANCE,8.99 € / KG
Kiwi Bio Hayward,kiwi-bio-hayward,Fruits et Légumes,FRANCE,7.18 € / KG
Kiwi Hayward en conversion Bio Hayward,kiwi-hayward-en-conversion-bio-hayward,Fruits et Légumes,FRANCE,3.45 € / KG
Kiwi bio jaune,kiwi-bio-jaune,Fruits et Légumes,ITALIE,3.35 € / U
Kiwi Bio jaune Sungold,kiwi-bio-jaune-sungold,Fruits et Légumes,NOUVELLE-ZELANDE,4.49 € / U
Kiwi Jaune Bio SUNGOLD,kiwi-jaune-bio-sungold,Fruits et Légumes,ORIGINE C.E.E.,7.98 € / KG
Kiwis Bio Hayward,kiwis-bio-hayward,Fruits et Légumes,NOUVELLE-ZELANDE,3.59 € / U
