"Date";"title";"slug";"product_family";"origin";"price";"total_kg_co2";"total_kg_co2_farming";"total_kg_co2_processing";"total_kg_co2_packaging";"total_kg_co2_transport";"total_kg_co2_retail";"total_kg_co2_consumption"
"07/07/2022";"Succès aux noix CARREFOUR EXTRA";"succes-aux-noix-carrefour-extra";"Surgelés";"";7.09;1.69;1.26;0.0;0.154;0.121;0.0201;0.133
"24/02/2022";"Poires Beurré d'Anjou vrac Bio";"poires-beurre-d-anjou-vrac-bio";"Fruits et Légumes";"FRANCE";1.88;7.91;7.29;0.0502;0.124;0.407;0.0403;0.0068
"21/08/2024";"Maki & me SUSHI DAILY";"maki-me-sushi-daily";"Viandes et Poissons";"FRANCE";11.5;0.097;0.0213;0.0;0.0;0.0501;0.0052;0.0204
"04/10/2023";"Fromage Mozzarella Fiordilatte L'ITALIE DES FROMAGES";"fromage";"Crèmerie et Produits laitiers";"";2.25;0.879;0.73;0.0407;0.0636;0.0383;0.0055;0.001
"02/10/2022";"Barres chocolatées au lait avec nougat et amandes TOBLERONE";"barres-chocolatees-au-lait-avec-nougat-et-amandes-toblerone";"Epicerie sucrée";"";4.15;0.368;0.2;0.0453;0.0722;0.0455;0.0053;0.0
"13/08/2024";"Fromage chaource LINCET";"fromage";"Crèmerie et Produits laitiers";"";4.35;1.47;1.22;0.0678;0.106;0.0639;0.0092;0.0017
"20/04/2023";"Fromage Cantal Bio Entre-deux au lait cru AOP";"fromage";"Bio et Ecologie";"";1.46;1.46;1.21;0.0675;0.106;0.0636;0.0092;0.0017
"12/08/2022";"Grignottes de poulet rôties nature CARREFOUR SENSATION";"grignottes-de-poulet-roties-nature-carrefour-sensation";"Viandes et Poissons";"";2.69;1.14;0.75;0.208;0.0945;0.0763;0.0102;0.0017
"14/10/2024";"Fromage Bio de Brebis SALAKIS";"fromage";"Crèmerie et Produits laitiers";"";2.99;0.88;0.73;0.0407;0.0637;0.0383;0.0055;0.001
"28/01/2023";"Infusion détente oranger et tilleul Bio JARDIN BIO ETIC";"the";"Epicerie sucrée";"";3.25;0.0015;0.0007;0.0;0.0002;0.0001;0.0;0.0004
