date;product_family;product;weight;price;link;total_kg_co2;total_kg_co2_farming;total_kg_co2_processing;total_kg_co2_packaging;total_kg_co2_transport;total_kg_co2_retail;total_kg_co2_consumption,date,product_family,product,weight,price,link,total_kg_co2,total_kg_co2_farming,total_kg_co2_processing,total_kg_co2_packaging,total_kg_co2_transport,total_kg_co2_retail,total_kg_co2_consumption
,2025-03-26,Epicerie sucrée ,Biscuits Choco Brownies BN,0.18494897959183673,1.45,https://www.carrefour.fr/p/biscuits-choco-brownies-bn-3061990144348?t=2183,0.0014592104591836734,0.0012367538265306123,6.158801020408163e-05,0.0001335331632653061,2.049234693877551e-05,6.843112244897959e-06,
,2025-03-26,Epicerie sucrée ,HOUSE TASSIMO ,0.26805555555555555,5.79,https://www.carrefour.fr/p/cafe-dosettes-latte-macchiato-caramel-maxwell-house-tassimo-8711000344873?t=2183,,,,,,,
,2025-03-26,Boissons,Bière Blonde STELLA ARTOIS,5.009803921568627,10.22,https://www.carrefour.fr/p/biere-blonde-stella-artois-5410228326038?t=27070,0.006748356176470588,0.00040028333333333335,0.0013676764705882354,0.0031110882352941177,0.0016532352941176472,0.00018185588235294117,3.421696078431372e-05
,2025-03-26,Boissons,Soda SELECTO,1.4948453608247423,1.45,https://www.carrefour.fr/p/soda-selecto-3377430003008?t=27070,0.0007374520618556701,0.00013483505154639175,1.9432989690721648e-05,0.00020628865979381445,0.00031242268041237116,5.426288659793815e-05,1.020979381443299e-05
,2025-03-26,Fruits et Légumes ,Bananes Max Havelaar CARREFOUR BIO,0.3618817852834741,6.0,https://www.carrefour.fr/p/bananes-max-havelaar-carrefour-bio-3523680438224?t=1882,0.0003287779252110977,0.00010675512665862485,4.451145958986732e-08,,0.00016176115802171291,1.0277442702050665e-05,4.993968636911943e-05
,2025-03-26,Fruits et Légumes ,Champignons blancs,0.19999999999999998,0.99,https://www.carrefour.fr/p/champignons-blancs-3523680457805?t=1882,0.0012350018,0.001148,8.179999999999999e-08,,5.959999999999999e-05,1.12e-05,1.6119999999999998e-05
,2025-03-26,Crèmerie et Produits laitiers,Emmental français CARREFOUR CLASSIC' ,0.25,2.29,https://www.carrefour.fr/p/emmental-francais-carrefour-classic-3560071245962,0.00146565,0.00121695,6.7825e-05,0.000106075,6.39e-05,9.2e-06,1.6999999999999998e-06
,2025-03-26,Crèmerie et Produits laitiers,Pointe de Brie crémeux CARREFOUR CLASSIC' ,0.19999999999999998,1.49,https://www.carrefour.fr/p/pointe-de-brie-cremeux-carrefour-classic-3560070046478,0.0011725199999999998,0.0009735599999999998,5.426e-05,8.486e-05,5.111999999999999e-05,7.359999999999999e-06,1.36e-06
,2025-03-27,Epicerie sucrée ,Biscuits Choco Brownies BN,0.18494897959183673,1.45,https://www.carrefour.fr/p/biscuits-choco-brownies-bn-3061990144348?t=2183,0.0014592104591836734,0.0012367538265306123,6.158801020408163e-05,0.0001335331632653061,2.049234693877551e-05,6.843112244897959e-06,
,2025-03-27,Fruits et Légumes ,Champignons blancs,0.19999999999999998,0.99,https://www.carrefour.fr/p/champignons-blancs-3523680457805?t=1882,0.0012350018,0.001148,8.179999999999999e-08,,5.959999999999999e-05,1.12e-05,1.6119999999999998e-05
,2025-03-28,Crèmerie et Produits laitiers,Emmental français CARREFOUR CLASSIC' ,0.25,2.29,https://www.carrefour.fr/p/emmental-francais-carrefour-classic-3560071245962,0.00146565,0.00121695,6.7825e-05,0.000106075,6.39e-05,9.2e-06,1.6999999999999998e-06
