title,slug,topCategoryName,origin,price_unit
Truite fumée REFLETS DE FRANCE,truite-fumee-reflets-de-france,Viandes et Poissons,,40.90 € / KG
Saumon fumé  Bio CARREFOUR BIO,saumon-fume-bio-carrefour-bio,Viandes et Poissons,,48.50 € / KG
Saumon fumé Le Norvège LABEYRIE,saumon-fume-le-norvege-labeyrie,Viandes et Poissons,,40.88 € / KG
Saumon fumé Norvège CARREFOUR EXTRA,saumon-fume-norvege-carrefour-extra,Viandes et Poissons,,42.79 € / KG
Filets de harengs fumés doux CARREFOUR CLASSIC',filets-de-harengs-fumes-doux-carrefour-classic,Viandes et Poissons,,8.75 € / KG
Rillettes de thon CARREFOUR EXTRA,rillettes-de-thon-carrefour-extra,Viandes et Poissons,,13.93 € / KG
Filets d'anchois huile d'olive CARREFOUR EXTRA,filets-d-anchois-huile-d-olive-carrefour-extra,Viandes et Poissons,,24.90 € / KG
Anchois marinés à l'ail CARREFOUR EXTRA,anchois-marines-a-l-ail-carrefour-extra,Viandes et Poissons,,35.71 € / KG
Surimi saveur crabe SIMPL,surimi-saveur-crabe-simpl,Viandes et Poissons,,3.72 € / KG
Surimi bâtonnets CARREFOUR CLASSIC',surimi-batonnets-carrefour-classic,Viandes et Poissons,,5.90 € / KG
Thon fromage frais & ciboulette CARREFOUR EXTRA,thon-fromage-frais-ciboulette-carrefour-extra,Viandes et Poissons,,18.93 € / KG
Terrine de poissons saumon et saumon fumé CARREFOUR EXTRA,terrine-de-poissons-saumon-et-saumon-fume-carrefour-extra,Viandes et Poissons,,20.75 € / KG
Brandade de morue à la Nîmoise REFLETS DE FRANCE,brandade-de-morue-a-la-nimoise-reflets-de-france,Viandes et Poissons,,19.45 € / KG
Rillettes de saumon CARREFOUR EXTRA,rillettes-de-saumon-carrefour-extra,Viandes et Poissons,,13.93 € / KG
Lardons de saumon fumé CARREFOUR EXTRA,lardons-de-saumon-fume-carrefour-extra,Viandes et Poissons,,41.67 € / KG
Minis blinis CARREFOUR SENSATION,minis-blinis-carrefour-sensation,Viandes et Poissons,,8.52 € / KG
Tarama aux œufs de cabillaud CARREFOUR SENSATION,tarama-aux-oeufs-de-cabillaud-carrefour-sensation,Viandes et Poissons,,9.90 € / KG
Saumon fumé SIMPL,saumon-fume-simpl,Viandes et Poissons,,24.75 € / KG
Café Capsules Compatibles Nespresso Lungo n°6 SIMPL,cafe-capsules-compatibles-nespresso-lungo-n06-simpl,Epicerie sucrée,,19.80 € / KG
Râpé de surimi CARREFOUR CLASSIC',rape-de-surimi-carrefour-classic,Viandes et Poissons,,9.72 € / KG
Mini surimi sauce mayonnaise CARREFOUR CLASSIC',mini-surimi-sauce-mayonnaise-carrefour-classic,Viandes et Poissons,,9.05 € / KG
Mini surimi sauce cocktail CARREFOUR CLASSIC',mini-surimi-sauce-cocktail-carrefour-classic,Viandes et Poissons,,9.05 € / KG
Truite fumée Aquitaine OVIVE,truite-fumee-aquitaine-ovive,Viandes et Poissons,,49.92 € / KG
Truite Fumée d'Aquitaine OVIVE,truite-fumee-d-aquitaine-ovive,Viandes et Poissons,,43.83 € / KG
Truite Fumée De France OVIVE,truite-fumee-de-france-ovive,Viandes et Poissons,,38.44 € / KG
Truite Fumée Au Bois De Hêtre LANDVIKA,truite-fumee-au-bois-de-hetre-landvika,Viandes et Poissons,,40.64 € / KG
