title,slug,topCategoryName,origin,price_unit
Filets de colin  d'Alaska MSC façon meunière  CARREFOUR LE MARCHE,filets-de-colin-d-alaska-msc-facon-meuniere-carrefour-le-marche,Viandes et Poissons,FRANCE,14.95 € / KG
Pavé de saumon avec peau sans arêtes ASC  FILIERE QUALITE CARREFOUR,pave-de-saumon-avec-peau-sans-aretes-asc-filiere-qualite-carrefour,Viandes et Poissons,NORVÈGE,27.06 € / KG
Pavé de saumon avec peau sans arêtes ASC  FILIERE QUALITE CARREFOUR,pave-de-saumon-avec-peau-sans-aretes-asc-filiere-qualite-carrefour,Viandes et Poissons,NORVÈGE,27.46 € / KG
Sardines Atlantique,sardines-atlantique,Viandes et Poissons,ATLANTIQUE NORD EST,3.89 € / KG
Huîtres Marennes Oléron IGP N°3 FILIERE QUALITE CARREFOUR,huitres-marennes-oleron-igp-n03-filiere-qualite-carrefour,Viandes et Poissons,FRANCE,7.99 € / KG
Filets de colin d'Alaska MSC panés  CARREFOUR LE MARCHE,filets-de-colin-d-alaska-msc-panes-carrefour-le-marche,Viandes et Poissons,FRANCE,14.50 € / KG
Filets de limande du Nord MSC façon meunière  CARREFOUR LE MARCHE,filets-de-limande-du-nord-msc-facon-meuniere-carrefour-le-marche,Viandes et Poissons,FRANCE,16.95 € / KG
Haché au saumon à la ciboulette CARREFOUR CLASSIC',hache-au-saumon-a-la-ciboulette-carrefour-classic,Viandes et Poissons,,10.45 € / KG
Pavé de saumon CARREFOUR BIO,pave-de-saumon-carrefour-bio,Viandes et Poissons,NORVEGE,39.96 € / KG
Filet de saumon ASC CARREFOUR LE MARCHE,filet-de-saumon-asc-carrefour-le-marche,Viandes et Poissons,NORVÈGE,25.98 € / KG
Pavé de saumon ASC FILIERE QUALITE CARREFOUR,pave-de-saumon-asc-filiere-qualite-carrefour,Viandes et Poissons,NORVÈGE,5.79 € / KG
Poêlée de saumon sans peau sans arêtes ASC  FILIERE QUALITE CARREFOUR,poelee-de-saumon-sans-peau-sans-aretes-asc-filiere-qualite-carrefour,Viandes et Poissons,ORIGINE C.E.E.,17.99 € / KG
Crevettes petites CARREFOUR EXTRA,crevettes-petites-carrefour-extra,Viandes et Poissons,,21.20 € / KG
Crevettes décortiquées nature CARREFOUR LE MARCHE,crevettes-decortiquees-nature-carrefour-le-marche,Viandes et Poissons,FRANCE,35.90 € / KG
