slug,footprint,farming,processing,packaging,transport,retail,consumption
abricot,1.451508,0.347,0.000108,0.657,0.342,0.0248,0.0806
ail,0.383493,0.0841,0.000193,,0.198,0.0206,0.0806
ananas,1.3614345,0.368,3.45e-05,,0.645,0.0254,0.323
artichaut,2.556166,0.615,0.000266,,0.596,0.0549,1.29
asperge,1.638878,0.97,0.000178,,0.417,0.0367,0.215
aubergine,0.472037,0.181,0.000107,,0.262,0.0231,0.00583
avocat,1.552523,0.878,0.000123,,0.508,0.0284,0.138
avoine,2.1503,1.872,0.0578,0.09,0.0912,0.0393,0.0
baguette,0.7767000000000001,0.387,0.181,0.0486,0.148,0.0121,
banane,0.908523,0.295,0.000123,,0.447,0.0284,0.138
betterave,0.4073664999999999,0.0941,6.65e-05,,0.262,0.0189,0.0323
beurre,7.91333,7.285,0.0501999999999999,0.124,0.407,0.0403,0.00683
biere,1.34703,0.0799,0.273,0.621,0.33,0.0363,0.00683
ble,1.2262635,0.6655,0.1510385,0.240525,0.1515,0.0177,
blette,0.5811,0.146,,,0.298,0.0565,0.0806
boeuf,28.00917,27.316666666666663,0.0889166666666666,0.2169999999999999,0.3083333333333333,0.0439666666666666,0.0342866666666666
bonbons,1.4869,0.721,0.303,0.231,0.211,0.0209,
boulgour,0.9499,0.748,,0.0381,0.146,0.0178,
brocoli,0.950705,0.537,0.000205,,0.298,0.0349,0.0806
burgerpoulet,4.3614,2.53,0.705,0.676,0.314,0.0417,0.0947
burgervegetarien,2.7075,1.23,0.394,0.676,0.271,0.0418,0.0947
cabillaud,12.0864877,10.3,5.77e-05,0.469,1.27,0.0406,0.00683
cafe,0.635463,0.436,0.0181,0.129,0.0402,0.000963,0.0112
canard,8.0609,6.05,1.04,0.472,0.359,0.0507,0.0892
carambole,0.5535079999999999,0.15,0.000108,,0.298,0.0248,0.0806
carotte,0.3960665,0.0828,6.65e-05,,0.262,0.0189,0.0323
cassis,1.903508,1.5,0.000108,,0.298,0.0248,0.0806
celeri,0.7157324,0.442,6.24e-05,,0.246,0.0177,0.00997
cerise,1.7445080000000002,0.64,0.000108,0.657,0.342,0.0248,0.0806
champignon,6.175009000000001,5.74,0.000409,,0.298,0.056,0.0806
chataigne,1.943945,1.71,0.000245,,0.171,0.0269,0.0358
chaussonauxpommes,2.0441000000000003,1.53,0.181,0.135,0.186,0.0121,
cheeseburger,18.8334,17.4,0.318,0.676,0.303,0.0417,0.0947
chocolat,7.8898,6.687,0.333,0.722,0.1108,0.037,
chou,0.8476329999999999,0.307,0.000133,,0.298,0.0275,0.215
choudebruxelles,0.562147,0.27,0.000117,,0.262,0.0242,0.00583
choufleur,0.720705,0.307,0.000205,,0.298,0.0349,0.0806
