title,slug,topCategoryName,origin,price_unit
Escalopes de dinde Label Rouge  FERMIERS DE LOUE,escalopes-de-dinde-label-rouge-fermiers-de-loue,Viandes et Poissons,,5.53 € / KG
Filets de poulet MAITRE COQ,filets-de-poulet-maitre-coq,Viandes et Poissons,,9.72 € / KG
Cordons bleus de poulet MAITRE COQ,cordons-bleus-de-poulet-maitre-coq,Viandes et Poissons,,5.90 € / KG
Filets de poulet jaune fermier CARREFOUR BIO,filets-de-poulet-jaune-fermier-carrefour-bio,Viandes et Poissons,,24.90 € / KG
Filets de poulet Halal,filets-de-poulet-halal,Viandes et Poissons,BELGIQUE,9.99 € / KG
Magret de Canard de canard LABEYRIE,magret-de-canard-de-canard-labeyrie,Viandes et Poissons,,17.95 € / KG
Filets de poulet Halal,filets-de-poulet-halal,Viandes et Poissons,FRANCE,11.90 € / KG
Grignottes de poulet rôties nature CARREFOUR SENSATION,grignottes-de-poulet-roties-nature-carrefour-sensation,Viandes et Poissons,,10.20 € / KG
Filet de poulet jaune MAITRE COQ,filet-de-poulet-jaune-maitre-coq,Viandes et Poissons,,9.72 € / KG
Filets de poulet  fermier jaune Bio CARREFOUR BIO,filets-de-poulet-fermier-jaune-bio-carrefour-bio,Viandes et Poissons,,24.90 € / KG
Filets de poulet fermier blanc   Bio CARREFOUR BIO,filets-de-poulet-fermier-blanc-bio-carrefour-bio,Viandes et Poissons,,24.90 € / KG
Poulet fermier jaune PAC Label Rouge ST SEVER,poulet-fermier-jaune-pac-label-rouge-st-sever,Viandes et Poissons,,19.39 € / KG
Viande de Volaille: filet de poulet Halal,viande-de-volaille-filet-de-poulet-halal,Viandes et Poissons,FRANCE,21.47 € / KG
Tenders de Poulet le Kentucky Halal IDEAL DELICES,tenders-de-poulet-le-kentucky-halal-ideal-delices,Viandes et Poissons,,9.99 € / KG
Aiguillettes de poulet blanc CARREFOUR CLASSIC',aiguillettes-de-poulet-blanc-carrefour-classic,Viandes et Poissons,,4.50 € / KG
Filets de poulet CARREFOUR,filets-de-poulet-carrefour,Viandes et Poissons,,8.69 € / KG
Filets de poulet,filets-de-poulet,Viandes et Poissons,FRANCE,8.80 € / KG
Poulet  rôti élevé sans traitement antibiotique,poulet-roti-eleve-sans-traitement-antibiotique,Viandes et Poissons,,9.77 € / KG
Poulet rôti épicé,poulet-roti-epice,Viandes et Poissons,,8.99 € / U
Escalopes de dinde CARREFOUR CLASSIC',escalopes-de-dinde-carrefour-classic,Viandes et Poissons,,3.71 € / KG
Cordons bleus de dinde CARREFOUR,cordons-bleus-de-dinde-carrefour,Viandes et Poissons,,8.98 € / KG
Nuggets de poulet CARREFOUR,nuggets-de-poulet-carrefour,Viandes et Poissons,,7.48 € / KG
Cordons bleus de poulet CARREFOUR CLASSIC',cordons-bleus-de-poulet-carrefour-classic,Viandes et Poissons,,7.95 € / KG
Panés de volaille façon normande CARREFOUR CLASSIC',panes-de-volaille-facon-normande-carrefour-classic,Viandes et Poissons,,9.95 € / KG
Aiguillettes de poulet panées CARREFOUR SENSATION,aiguillettes-de-poulet-panees-carrefour-sensation,Viandes et Poissons,,16.75 € / KG
Gésiers de volaille cuisinés en confit CARREFOUR,gesiers-de-volaille-cuisines-en-confit-carrefour,Viandes et Poissons,,8.63 € / KG
1/2 poulet jaune fermier de Loué rôti,1-2-poulet-jaune-fermier-de-loue-roti,Viandes et Poissons,,5.99 € / U
Jambonneau cuit supérieur,jambonneau-cuit-superieur,Viandes et Poissons,,16.50 € / KG
Palette de porc cuite,palette-de-porc-cuite,Viandes et Poissons,,16.50 € / KG
Poulet rôti fermier de Loué,poulet-roti-fermier-de-loue,Viandes et Poissons,,11.99 € / U
Pilons de poulet,pilons-de-poulet,Viandes et Poissons,FRANCE,5.60 € / KG
Filets de poulet en cubes,filets-de-poulet-en-cubes,Viandes et Poissons,BELGIQUE,12.40 € / KG
Aiguillettes de poulet,aiguillettes-de-poulet,Viandes et Poissons,BELGIQUE,11.50 € / KG
Filet de dinde en cube,filet-de-dinde-en-cube,Viandes et Poissons,FRANCE,13.00 € / KG
Filets de poulet en lanières,filets-de-poulet-en-lanieres,Viandes et Poissons,UNION EUROPEENNE,12.70 € / KG
Quart de poulet rôti,quart-de-poulet-roti,Viandes et Poissons,,3.00 € / U
Aiguillettes de poulet corn flakes,aiguillettes-de-poulet-corn-flakes,Viandes et Poissons,,2.70 € / KG
Plat cuisiné Quart de poulet rôti et Pommes de terre Wedge,plat-cuisine-quart-de-poulet-roti-et-pommes-de-terre-wedge,Viandes et Poissons,,4.00 € / U
Poulet rôti fermier Licques,poulet-roti-fermier-licques,Viandes et Poissons,,7.66 € / KG
Poulet fermier blanc  élevé en plein air Bio CARREFOUR BIO,poulet-fermier-blanc-eleve-en-plein-air-bio-carrefour-bio,Viandes et Poissons,,19.18 € / KG
Poulet nourri aux graines de lin MAITRE COQ,poulet-nourri-aux-graines-de-lin-maitre-coq,Viandes et Poissons,,6.96 € / KG
Cuisse de poulet  fermier jaune Bio CARREFOUR BIO,cuisse-de-poulet-fermier-jaune-bio-carrefour-bio,Viandes et Poissons,,9.90 € / KG
Poulet fermier blanc Label Rouge FERMIERS DE LOUE,poulet-fermier-blanc-label-rouge-fermiers-de-loue,Viandes et Poissons,,13.63 € / KG
Cuisses de poulet rôti LE GAULOIS,cuisses-de-poulet-roti-le-gaulois,Viandes et Poissons,,5.60 € / KG
Filets de poulet l'Extra Tendre LE GAULOIS,filets-de-poulet-l-extra-tendre-le-gaulois,Viandes et Poissons,,5.29 € / KG
Sauté de poulet LE GAULOIS,saute-de-poulet-le-gaulois,Viandes et Poissons,,13.98 € / KG
Filets de poulet rôtis LE GAULOIS,filets-de-poulet-rotis-le-gaulois,Viandes et Poissons,,6.14 € / KG
Cuisses de poulet jaune Label Rouge LOUE,cuisses-de-poulet-jaune-label-rouge-loue,Viandes et Poissons,,10.61 € / KG
Aiguillettes de poulet blanc LE GAULOIS,aiguillettes-de-poulet-blanc-le-gaulois,Viandes et Poissons,,19.00 € / KG
Filets de poulet fermier jaune Label Rouge FERMIERS DE LOUE,filets-de-poulet-fermier-jaune-label-rouge-fermiers-de-loue,Viandes et Poissons,,6.47 € / KG
Filets de poulet jaune LE GAULOIS,filets-de-poulet-jaune-le-gaulois,Viandes et Poissons,,16.63 € / KG
Cuisses de poulet blanc fermier Label Rouge CARREFOUR,cuisses-de-poulet-blanc-fermier-label-rouge-carrefour,Viandes et Poissons,,4.27 € / KG
Cuisses de poulet ROYAL BERNARD,cuisses-de-poulet-royal-bernard,Viandes et Poissons,,5.25 € / KG
Ailes de poulet ROYAL BERNARD,ailes-de-poulet-royal-bernard,Viandes et Poissons,,5.11 € / KG
Volaille : blanc de poulet,volaille-blanc-de-poulet,Viandes et Poissons,FRANCE,5.36 € / KG
Aiguillettes de poulet jaune LE GAULOIS,aiguillettes-de-poulet-jaune-le-gaulois,Viandes et Poissons,,19.00 € / KG
Poulet jaune Label Rouge GERS,poulet-jaune-label-rouge-gers,Viandes et Poissons,,13.87 € / KG
Filets  de poulet LA NOUVELLE AGRICULTURE,filets-de-poulet-la-nouvelle-agriculture,Viandes et Poissons,,4.88 € / KG
Cuisses de poulet blanc LA NOUVELLE AGRICULTURE,cuisses-de-poulet-blanc-la-nouvelle-agriculture,Viandes et Poissons,,3.44 € / KG
Cuisses de poulet jaune LA NOUVELLE AGRICULTURE,cuisses-de-poulet-jaune-la-nouvelle-agriculture,Viandes et Poissons,,5.92 € / KG
Pilons de poulet jaune LA NOUVELLE AGRICULTURE,pilons-de-poulet-jaune-la-nouvelle-agriculture,Viandes et Poissons,,3.60 € / KG
Pané de poulet,pane-de-poulet,Viandes et Poissons,ORIGINE C.E.E.,10.00 € / KG
Filets de poulet jaune DUC,filets-de-poulet-jaune-duc,Viandes et Poissons,,8.50 € / KG
Cuisse de poulet blanc avec portion de dos,cuisse-de-poulet-blanc-avec-portion-de-dos,Viandes et Poissons,,6.73 € / KG
Filets de poulet halal CARREFOUR,filets-de-poulet-halal-carrefour,Viandes et Poissons,,4.09 € / KG
Haut de cuisse de poulet blanc,haut-de-cuisse-de-poulet-blanc,Viandes et Poissons,,4.45 € / KG
Cuisse de poulet jaune CARREFFOUR,cuisse-de-poulet-jaune-carreffour,Viandes et Poissons,,4.22 € / KG
Cuisses de poulet jaune fermier LR REFLETS DE FRANCE,cuisses-de-poulet-jaune-fermier-lr-reflets-de-france,Viandes et Poissons,,5.57 € / KG
Aiguillettes de poulet  jaune fermier Bio CARREFOUR BIO,aiguillettes-de-poulet-jaune-fermier-bio-carrefour-bio,Viandes et Poissons,,5.76 € / KG
Hauts de cuisse poulet blanc fermier CARREFOUR BIO,hauts-de-cuisse-poulet-blanc-fermier-carrefour-bio,Viandes et Poissons,,4.19 € / KG
Médaillons de poulet à la basquaise SIMPL,medaillons-de-poulet-a-la-basquaise-simpl,Viandes et Poissons,,12.38 € / KG
Médaillons de poulet marinés SIMPL,medaillons-de-poulet-marines-simpl,Viandes et Poissons,,12.38 € / KG
